"YEAR","FMP_AREA","FMP_GEAR","SPECIES","LENGTH","FREQUENCY","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1991,"GOA","TRW",330,42,14,1,"346083",NA
1991,"GOA","TRW",330,43,12,1,"346083",NA
1991,"GOA","TRW",330,44,4,1,"346083",NA
1991,"GOA","TRW",330,45,4,1,"346083",NA
1991,"GOA","TRW",330,46,3,1,"346083",NA
1991,"GOA","TRW",330,47,1,1,"346083",NA
1991,"GOA","TRW",330,40,10,1,"346086",NA
1991,"GOA","TRW",330,41,9,1,"346086",NA
1991,"GOA","TRW",330,42,9,1,"346086",NA
1991,"GOA","TRW",330,43,9,1,"346086",NA
1991,"GOA","TRW",330,44,7,1,"346086",NA
1991,"GOA","TRW",330,45,6,1,"346086",NA
1991,"GOA","TRW",330,46,5,1,"346086",NA
1991,"GOA","TRW",330,47,1,1,"346086",NA
1991,"GOA","TRW",330,37,1,1,"346086",NA
1991,"GOA","TRW",330,38,3,1,"346086",NA
1991,"GOA","TRW",330,39,12,1,"346086",NA
1991,"GOA","TRW",330,40,8,1,"346086",NA
1991,"GOA","TRW",330,41,14,1,"346086",NA
1991,"GOA","TRW",330,42,18,1,"346086",NA
1991,"GOA","TRW",330,39,1,1,"346092",NA
1991,"GOA","TRW",330,40,1,1,"346092",NA
1991,"GOA","TRW",330,41,6,1,"346092",NA
1991,"GOA","TRW",330,42,2,1,"346092",NA
1991,"GOA","TRW",330,43,3,1,"346092",NA
1991,"GOA","TRW",330,44,7,1,"346092",NA
1991,"GOA","TRW",330,46,1,1,"346092",NA
1991,"GOA","TRW",330,47,1,1,"346092",NA
1991,"GOA","TRW",330,48,1,1,"346092",NA
1991,"GOA","TRW",330,37,2,1,"346092",NA
1991,"GOA","TRW",330,38,1,1,"346092",NA
1991,"GOA","TRW",330,39,2,1,"346092",NA
1991,"GOA","TRW",330,40,5,1,"346092",NA
1991,"GOA","TRW",330,41,9,1,"346092",NA
1991,"GOA","TRW",330,42,8,1,"346092",NA
1991,"GOA","TRW",330,43,3,1,"346092",NA
1991,"GOA","TRW",330,44,5,1,"346092",NA
1991,"GOA","TRW",330,45,3,1,"346092",NA
1991,"GOA","TRW",330,60,2,1,"346092",NA
1991,"GOA","TRW",330,39,4,1,"346094",NA
1991,"GOA","TRW",330,40,2,1,"346094",NA
1991,"GOA","TRW",330,41,1,1,"346094",NA
1991,"GOA","TRW",330,42,3,1,"346094",NA
1991,"GOA","TRW",330,43,3,1,"346094",NA
1991,"GOA","TRW",330,44,2,1,"346094",NA
1991,"GOA","TRW",330,45,2,1,"346094",NA
1991,"GOA","TRW",330,47,1,1,"346094",NA
1991,"GOA","TRW",330,48,1,1,"346094",NA
1991,"GOA","TRW",330,49,1,1,"346094",NA
1991,"GOA","TRW",330,38,1,1,"346094",NA
1991,"GOA","TRW",330,39,2,1,"346094",NA
1991,"GOA","TRW",330,40,1,1,"346094",NA
1991,"GOA","TRW",330,41,3,1,"346094",NA
1991,"GOA","TRW",330,42,4,1,"346094",NA
1991,"GOA","TRW",330,43,4,1,"346094",NA
1991,"GOA","TRW",330,44,3,1,"346094",NA
1991,"GOA","TRW",330,45,2,1,"346094",NA
1991,"GOA","TRW",330,46,1,1,"346094",NA
1991,"GOA","TRW",330,39,2,4,"346100",NA
1991,"GOA","TRW",330,40,1,4,"346100",NA
1991,"GOA","TRW",330,41,2,4,"346100",NA
1991,"GOA","TRW",330,42,2,4,"346100",NA
1991,"GOA","TRW",330,43,8,4,"346100",NA
1991,"GOA","TRW",330,44,4,4,"346100",NA
1991,"GOA","TRW",330,46,1,4,"346100",NA
1991,"GOA","TRW",330,47,1,4,"346100",NA
1991,"GOA","TRW",330,38,3,4,"346100",NA
1991,"GOA","TRW",330,39,1,4,"346100",NA
1991,"GOA","TRW",330,40,7,4,"346100",NA
1991,"GOA","TRW",330,41,7,4,"346100",NA
1991,"GOA","TRW",330,42,6,4,"346100",NA
1991,"GOA","TRW",330,43,3,4,"346100",NA
1991,"GOA","TRW",330,44,4,4,"346100",NA
1991,"GOA","TRW",330,46,2,4,"346100",NA
1991,"GOA","TRW",330,47,1,4,"346100",NA
1991,"GOA","TRW",330,41,1,1,"346101",NA
1991,"GOA","TRW",330,42,2,1,"346101",NA
1991,"GOA","TRW",330,43,3,1,"346101",NA
1991,"GOA","TRW",330,44,3,1,"346101",NA
1991,"GOA","TRW",330,45,1,1,"346101",NA
1991,"GOA","TRW",330,38,1,1,"346101",NA
1991,"GOA","TRW",330,39,1,1,"346101",NA
